UTCTime,Time,RelTime,ActSatId,ActBeam [1-16],ActGain,ActSNR,FiltSNR,gnId,fwdChan,revChan,satAz,satElev,satGeoSep
00:01:18,,78000,369,13,23.31228086,10.23215301,9.62134758,127,6,2,28.78687103,65.40742209,63.7732656
00:01:19,,79000,369,13,23.36764711,10.26883656,9.686096478,127,6,2,29.17338278,65.66521614,63.47922137
00:01:20,,80000,369,13,23.20571593,10.19119025,9.736605855,127,6,2,29.56891494,65.9227791,63.18411732
00:01:21,,81000,369,13,22.83585113,9.998862988,9.762831568,127,6,2,29.97375254,66.18006155,62.88796425
00:01:22,,82000,369,13,22.281411,9.692848815,9.755833293,127,6,2,30.38818989,66.43701213,62.59077329
00:01:23,,83000,369,13,21.50015027,9.230271365,9.7032771,127,6,2,30.81252865,66.69357811,62.29255607
00:01:24,,84000,369,13,20.49124666,8.583240073,9.591273397,127,6,2,31.24708867,66.94970202,61.99332387
00:01:25,,85000,369,12,19.57656816,7.954196208,9.427565678,127,5,1,31.6921941,67.20532736,61.69308786
00:01:26,,86000,369,12,20.73218212,8.762425441,9.361051655,127,5,1,32.14818224,67.46039227,61.39186073
00:01:27,,87000,369,12,21.64135013,9.350844857,9.360030975,127,5,1,32.61540289,67.71483497,61.08965332
00:01:28,,88000,369,12,22.33348711,9.769506199,9.400978497,127,5,1,33.09421422,67.96858874,60.78647911
00:01:29,,89000,369,12,22.81186671,10.04464572,9.46534522,127,5,1,33.58498899,68.2215863,60.4823495
00:01:30,,90000,369,12,23.08616975,10.19899531,9.538710229,127,5,1,34.08811214,68.47375654,60.17727673
00:01:31,,91000,369,12,23.15337739,10.24097839,9.608937045,127,5,1,34.60397865,68.72502468,59.87127421
00:01:32,,92000,369,12,23.01502354,10.1742464,9.66546798,127,5,1,35.13299901,68.97531341,59.5643543
00:01:33,,93000,369,12,22.66896103,9.993154694,9.698236652,127,5,1,35.67559411,69.22454235,59.25652996
00:01:34,,94000,369,12,22.10439295,9.679582703,9.696371257,127,5,1,36.23219585,69.47262868,58.94781417
00:01:35,,95000,369,12,21.32125534,9.213414561,9.648075587,127,5,1,36.80325145,69.71948371,58.6382207
